List Number	Author	Author Wikidata ID	Author GND ID	Title	Subtitle	Pages	Publication Date	Date of first performance	Location of first performance	Work Wikidata ID	Work Goodreads ID	Work GND ID	DraCor ID
1	Anonym (Sebastian Joseph Krause)	http://www.wikidata.org/entity/Q60841955	https://d-nb.info/gnd/105765146X	Die Rebellion	Ein Vaterländisches Original-Schauspiel in vier Aufzügen	7–8	1791			http://www.wikidata.org/entity/Q137360819			
2	Johann Friedrich Ernst Albrecht	http://www.wikidata.org/entity/Q124680	https://d-nb.info/gnd/118644386	Masaniello von Neapel	Original-Trauerspiel in fünf Aufzügen	8–9	1789						
3	Sophie Albrecht	http://www.wikidata.org/entity/Q1330321	https://d-nb.info/gnd/116010010	Theresgen	Ein Schauspiel mit Gesang, in fünf Aufzügen	9–10	1781						
4	Cornelius Hermann von Ayrenhoff	http://www.wikidata.org/entity/Q112838	https://d-nb.info/gnd/118869647	Aurelius oder Wettstreit der Großmuth	Ein Trauerspiel in fünf Aufzügen. Auf die Wienerische Schaubühne gebracht im Jahre 1766	10–11	1766	1766	Wien				
5	Cornelius Hermann von Ayrenhoff	http://www.wikidata.org/entity/Q112838	https://d-nb.info/gnd/118869647	Die Freundschaft der Weiber nach der letzten Mode	Ein Lustspiel in zween Aufzügen. Auf das Wiener Theater gebracht im Jahre 1782	11–12	1782	1782	Wien				
6	Cornelius Hermann von Ayrenhoff	http://www.wikidata.org/entity/Q112838	https://d-nb.info/gnd/118869647	Hermanns Tod	Ein Trauerspiel in Versen. Von einem k. k. Officier. Aufgeführt auf der k. k. Deutschen Schaubühne in Wien	12–13	1769	1768	Wien				
7	Cornelius Hermann von Ayrenhoff	http://www.wikidata.org/entity/Q112838	https://d-nb.info/gnd/118869647	Irene	Ein christliches Trauerspiel in Prosa in drey Aufzügen	13–14	1781	1781-01-21	Wien				
8	Cornelius Hermann von Ayrenhoff	http://www.wikidata.org/entity/Q112838	https://d-nb.info/gnd/118869647	Der Postzug oder die noblen Passionen	Ein Lustspiel in zween Aufzuegen	14–15	1769	1769-09-30	Wien	http://www.wikidata.org/entity/Q52692254			https://dracor.org/id/ger000211
9	Cornelius Hermann von Ayrenhoff	http://www.wikidata.org/entity/Q112838	https://d-nb.info/gnd/118869647	Tumelicus, oder der gerächte Hermann	Ein Trauerspiel mit Chören. Von dem Verfasser der dramatischen Unterhaltungen. Dem Verfasser der leipziger Beyträge zum deutschen Theater gewidmet	16	1774	1774	Wien				
10	Cornelius Hermann von Ayrenhoff	http://www.wikidata.org/entity/Q112838	https://d-nb.info/gnd/118869647	Virginia oder Das abgeschaffte Decemvirat	Ein Trauerspiel	17	1790	1790-06-09	Wien	http://www.wikidata.org/entity/Q51529492			https://dracor.org/id/ger000282
11	Joseph Marius von Babo	http://www.wikidata.org/entity/Q104172	https://d-nb.info/gnd/118988107	Das Fräulein Wohlerzogen	ein Lustspiel in drei Aufzügen. Ein Sittengemälde aus München	18	1783			http://www.wikidata.org/entity/Q122168239			https://dracor.org/id/ger000643
12	Joseph Marius von Babo	http://www.wikidata.org/entity/Q104172	https://d-nb.info/gnd/118988107	Oda, die Frau von zween Männern	Ein Trauerspiel. Aufgeführt auf den kurfürstl. Nationaltheater in München	19	1782	1780-12-10	München	http://www.wikidata.org/entity/Q133826191			
