List Number	Series Number	Author	Author_English	Author_Wikidata_ID	Author_GND_ID	Title	Title_English	Work_Wikidata_ID	Work_Goodreads_ID	Work_GND_ID	Publication_Date
1		Андієвська Емма	Emma Andijewska	Q291500	121646920	Роман про людське призначення	A Novel about Human Destiny	Q12148634	44810891		1982
2		Андрухович Софія	Sofia Andrukhovych	Q3487185	1069889679	Фелікс Австрія	Felix Austria	Q20095945	42699639	1173353046	2014
3		Андрухович Юрій	Yurii Andrukhovych	Q452371	124818145	Перверзія	Perverzion	Q7171255	1450016		1997
4		Антоненко-Давидович Борис	Borys Antonenko-Davydovych	Q2607629	119460785	Сибірські новели	Siberian Novels	Q115251378	56054021		1989
5		Антонич Богдан-Ігор	Bohdan Ihor Antonych	Q890749	119045362	Зелена Євангелія	The Green Gospel	Q25431768	43955535		1938
6		Іван Багряний	Ivan Bahrianyi	Q2657001	115368124	Сад Гетсиманський	Garden of Gethsemane	Q12150102	8277006		1950
7		Бажан Микола Платонович	Mykola Bazhan	Q1345193	118876147	Карби	Karby	Q124757844	73994574		1978
8		Василь Барка	Vasyl Barka	Q2473065	116057343	Жовтий князь	The Yellow Prince	Q17632803	20267834		1962
9		Панас Мирний	Panas Myrny	Q2027832	122063082	Хіба ревуть воли, як ясла повні?	Do Oxen Low When Mangers are Full?	Q12168075	19217374		1880
9		Рудченко Іван Якович	Ivan Roudtchenko	Q4399765	1254759778	Хіба ревуть воли, як ясла повні?	Do Oxen Low When Mangers are Full?	Q12168075	19217374		1880
10		Білоцерківець Наталка Геннадіївна	Natalka Bilotserkivets	Q4082912	1038156785	Готель Централь	Central Hotel	Q115251451	73994751		2004
11		Винниченко Володимир Кирилович	Volodymyr Vynnychenko	Q2494143	119243318	Записки кирпатого Мефістофеля	Notes of a Pug-Nosed Mephistopheles	Q56356114	4060857		1917
12		Винничук Юрій Павлович	Yuriy Vynnychuk	Q2028631	103537422	Танґо смерті	Tango of Death	Q12159926	21934493		2012
13		Остап Вишня	Ostap Vyshnya	Q2631374	109892879	Мисливські усмішки	Hunting Smiles	Q25383009	21832283		1958
14	0	Ірина Вільде	Iryna Vilde	Q4203178	119198355	Сестри Річинські	The Richynski Sisters	Q12152462	16081294		{1958,1964}
14	1	Ірина Вільде	Iryna Vilde	Q4203178	119198355	Том 1	Vol. 1		50865820		1958
14	2	Ірина Вільде	Iryna Vilde	Q4203178	119198355	Том 2	Vol. 2		218221328		1964
14	3	Ірина Вільде	Iryna Vilde	Q4203178	119198355	Том 3	Vol. 3		218221324		1964
15		Вінграновський Микола Степанович	Mykola Vinhranovsky	Q2089997	10354304X	Сто поезій	A Hundred Poems	Q124757865	73994791		1967
16		Марко Вовчок	Marko Vovchok	Q2421158	118807919	Інститутка	After Finishing School	Q25434803	26033865		1860
17		Воробйов Микола Панасович	Mykola Vorobyov	Q4125193	142895768	Без кори	Without Bark	Q136533059	26586821		1967
18		Герасим'юк Василь Дмитрович	Vasyl Herasymiuk	Q4136088	1056116668	Діти трепети	Children of Thrills	Q136512346	73994803		1991
