List Number	Series Number	Author	Author Wikidata ID	Author GND ID	Title	Work Wikidata ID	Work Goodreads ID	Work GND ID	Publication Date
1		W. G. Sebald	Q76952	119310007	Austerlitz	Q473389	2193696	4792721-5	2001
2		Jonathan Franzen	Q316607	124075746	Freiheit	Q724340	9585796	1038033934	2010
3		Swetlana Alexijewitsch	Q274334	115696938	Secondhand-Zeit	Q18449383	27225929	1080958576	2013
4		Olga Tokarczuk	Q254032	122302885	Die Jakobsbücher	Q21076759	42744390	119758000X	2014
5		Paul Lynch	Q21100124	1089859260	Das Lied des Propheten	Q123347158	171510679		2023
6		Andrea Abreu	Q99527353	1221094726	So forsch, so furchtlos	Q99529251	82715501	1292104805	2020
7		Anne Applebaum	Q233479	126244189	Roter Hunger	Q103500756	54817230	1194964338	2017
8		Péter Nádas	Q336698	118899791	Parallelgeschichten	Q642354	15735508	1022836277	2005
9		Karl Ove Knausgård	Q609317	133516512	Sterben / Lieben / Spielen / Leben / Träumen / Kämpfen	Q16325203	61942128	1092209743	{2009,2009,2009,2010,2010,2011}
10		Andreas Reckwitz	Q500160	12234653X	Verlust. Ein Grundproblem der Moderne	Q131085215	184954771		2024
11		Annie Ernaux	Q1153825	119012278	Erinnerung eines Mädchens	Q50413747	50107801	1204598983	2016
12		Merlin Sheldrake	Q89428526	1217882936	Verwobenes Leben	Q98686638	73100236		2020
13		Yuval Noah Harari	Q2484404	1041962797	Sapiens. Eine kurze Geschichte der Menschheit	Q12411055	18962767	1227273169	2011
14		David Graeber	Q1174579	136471862	Anfänge. Eine neue Geschichte der Menschheit	Q108922801	87659801	1287814662	2021
14		David Wengrow	Q64594136	143143328	Anfänge. Eine neue Geschichte der Menschheit	Q108922801	87659801	1287814662	2021
15		Joanne K. Rowling	Q34660	122340469	Harry Potter und die Heiligtümer des Todes	Q46758	2963218	7610747-4	2007
16		Jon Fosse	Q443868	120052547	Ein neuer Name. Septologie VI–VII	Q114761935	81324824	1312642319	2021
17		Hilary Mantel	Q465700	123670039	Sprechen lernen	Q112666117	696911		2003
18		Jonas Lüscher	Q15445186	103127362X	Frühling der Barbaren	Q29784133	23858696	1101965738	2013
19		David Foster Wallace	Q313246	122865251	Der Spass an der Sache	Q131628897	70160377	1167175441	{1997,2005,2012}
20		Han Kang	Q5646626	1038023009	Die Vegetarierin	Q24082770	18449744	1120734800	2007
21		Herta Müller	Q38049	119053071	Atemschaukel	Q479895	6966223	1055934480	2009
22		Rachel Cusk	Q3416087	120077973	Outline	Q50377310	40698498	1188483579	2014
23		Jürgen Wertheimer	Q1305674	121398218	Europa. Eine Geschichte seiner Kulturen	Q131621286	81845536		2020
24		Michel Houellebecq	Q103114	121383261	Plattform	Q1425106	2205765	1133212670	2001
25		Judith Hermann	Q60984	120448041	Wir hätten uns alles gesagt	Q131444184	100218454	1287042082	2023
26		Dipesh Chakrabarty	Q251282	135716152	Europa als Provinz	Q21050015	994281		2000
27		Christian Kracht	Q123242	120013428	1979	Q208283	210465	1025534948	2001
28		Can Xue	Q1072531	123472814	Schattenvolk	Q114761770	73460576		2020
29		Ian McEwan	Q190379	119252694	Lektionen	Q116688799	94752488	1269188933	2022
30		Clemens Meyer	Q104844	131369180	Die Projektoren	Q130633700	217928842	1340497786	2024
31		Édouard Louis	Q16011483	104940811X	Das Ende von Eddy	Q16632043	71037054	1141331888	2014
32		Marjane Satrapi	Q126633	129860468	Persepolis	Q756604	13344769	1027671470	{2000,2001,2002,2003}
33		Michael Lewis	Q311654	118926845	The Big Short. Wie eine Handvoll Trader die Welt verzockte	Q4091844	6654434		2010
34		Elton John	Q2808	11880054X	Ich. Die Autobiografie	Q85784608	68837791	1202876862	2019
35		Ottessa Moshfegh	Q20707944	1077115040	Mein Jahr der Ruhe und Entspannung	Q55624271	55508660	1323213732	2018
36		Terézia Mora	Q273974	12123035X	Das Ungeheuer	Q15942736	25892240	1186653779	2013
37		Lukas Bärfuss	Q118973	123991226	Hundert Tage	Q1637474	3781167	1079039457	2008
38		Nino Haratischwili	Q1724351	124712193	Das achte Leben (Für Brilka)	Q28083618	42466516	1208478133	2014
39		Kathrin Schärer	Q1736524	122467221	Johanna im Zug	Q131619814	10725988	1156197392	2009
40		Andreas Steinhöfel	Q96441	118150693	Rico, Oskar und die Tieferschatten	Q26877885	2959403	1112099301	2008
41		Øyvind Torseter	Q6516059	101910645X	Das Loch	Q131621319	24087919		2012
42		Philip Ardagh	Q327186	129889245	Schlimmes Ende	Q2239800	526468	4821497-8	2000
43		Sydney Smith	Q25189237	1042643954	Erinnerst du dich?	Q131619731	161551460		2023
44		Janne Teller	Q290261	124158919	Nichts	Q1985244	6841835	7847407-3	2000
