Author	Author Wikidata ID	Author GND ID	Title	Work Wikidata ID	Work Goodreads ID	Work GND ID	Publication Date
Andrzej Stasiuk	Q515644	118115138	Die Welt hinter Dukla	Q136190907	2118028	4641703-5	2000
Zeruya Shalev	Q196773	12184837X	Liebesleben	Q16130921	143123	7599369-7	2000
Zadie Smith	Q140052	122702506	Zähne zeigen	Q866980	7480	4717417-1	2000
W. G. Sebald	Q76952	119310007	Austerlitz	Q473389	2193696	4792721-5	2001
Péter Esterházy	Q164106	118899619	Harmonia Cælestis	Q1585604	429938	7557835-9	2001
Christian Kracht	Q123242	120013428	1979	Q208283	210465	1025534948	2001
Jonathan Franzen	Q316607	124075746	Die Korrekturen	Q335645	941200	7580478-5	2002
Siri Hustvedt	Q259543	115468943	Was ich liebte	Q3927652	1309881	1059421879	2002
Jeffrey Eugenides	Q357108	123706017	Middlesex	Q1609780	1352495	4818034-8	2003
Imre Kertész	Q47755	119204290	Liquidation	Q12033529	309127	1048256855	2003
Marjane Satrapi	Q126633	129860468	Persepolis	Q756604	13344769	1027671470	2004
Daniel Kehlmann	Q57477	115812431	Die Vermessung der Welt	Q630282	598208	7598282-1	2005
Joan Didion	Q267691	118884131	Das Jahr magischen Denkens	Q993664	1659905	1195541538	2006
Saša Stanišić	Q77319	132082179	Wie der Soldat das Grammofon repariert	Q27606828	2053079	1088321577	2006
Cormac McCarthy	Q272610	118873822	Die Straße	Q1140295	3355573	7698101-0	2007
Chimamanda Ngozi Adichie	Q230141	12975479X	Die Hälfte der Sonne	Q3235393	1651408	1041372442	2007
Olga Tokarczuk	Q254032	122302885	Unrast	Q9171173	2014747	1200777492	2009
Roberto Bolaño	Q297532	120894076	2666	Q219437	3294830	1045769193	2009
Hilary Mantel	Q465700	123670039	Wölfe	Q2657795	6278354	1215509472	2010
Haruki Murakami	Q134798	119037092	1Q84	Q208971	18160093		2010
Wolfgang Herrndorf	Q109180	124287646	Tschick	Q2457949	14280986	105260790X	2010
Karl Ove Knausgård	Q609317	133516512	Sterben	Q11989533	7412679	1092213015	2011
Péter Nádas	Q336698	118899791	Parallelgeschichten	Q642354	15735508	1022836277	2012
Maxim Biller	Q86514	12126582X	Im Kopf von Bruno Schulz	Q136191942	26653427	1100314636	2013
Donna Tartt	Q255339	12499606X	Der Distelfink	Q15080194	24065147	1078072418	2014
Michel Houellebecq	Q103114	121383261	Unterwerfung	Q18643289	43535062	1119370442	2015
Emmanuel Carrère	Q713747	115830995	Das Reich Gottes	Q18222158	42572127	1093427264	2016
Elena Ferrante	Q368127	113749678	Meine geniale Freundin	Q22263533	19174054	1113212020	2016
Han Kang	Q5646626	1038023009	Die Vegetarierin	Q24082770	18449744	1120734800	2016
Liu Cixin	Q607588	1072055163	Die drei Sonnen	Q607112	25696480		2016
Hanya Yanagihara	Q20902324	1076098886	Ein wenig Leben	Q20709044	42375710	1136388494	2016
Annie Ernaux	Q1153825	119012278	Die Jahre	Q3230588	3110233	1148791590	2017
Paul Auster	Q214642	11910251X	4 3 2 1	Q28846426	50710100	1124702113	2017
Ottessa Moshfegh	Q20707944	1077115040	Mein Jahr der Ruhe und Entspannung	Q55624271	55508660	1323213732	2018
Sally Rooney	Q54861296	1140458604	Normale Menschen	Q55360383	59141209	1222522101	2020
Leif Randt	Q1691560	139650482	Allegro Pastell	Q130633645	74084431	1240273436	2020
Jenny Erpenbeck	Q85361	123291453	Kairos	Q126367283	92753170	1241147388	2021
Eva Menasse	Q431884	12239089X	Dunkelblum	Q136191996	92239645	1240318537	2021
Jon Fosse	Q443868	120052547	Ein neuer Name	Q114761935	81324824	1312642319	2023
Salman Rushdie	Q44306	118873520	Knife	Q125548512	203772079	1367276772	2024
Cornelia Funke	Q57971	119523604	Tintenherz	Q1458903	2628323	7601488-5	2003
Jeff Kinney	Q311704	133953513	Gregs Tagebuch	Q3285408	2617009	1065983042	2008
Andreas Steinhöfel	Q96441	118150693	Rico, Oskar und die Tieferschatten	Q26877885	2959403	1112099301	2008
Suzanne Collins	Q228624	130042161	Die Tribute von Panem – Tödliche Spiele	Q11678	2792775	1099323576	2012
John Green	Q630446	132602040	Das Schicksal ist ein mieser Verräter	Q658375	16827462	1084361752	2012
Jon Klassen	Q2815153	1041650701	Wo ist mein Hut	Q96418607	16160067	1121527221	2012
Oliver Jeffers	Q3350659	142553204	Hier sind wir	Q136191833	56500921	1210433192	2018
Jason Reynolds	Q30138175	1076012191	Ghost	Q110618132	49179183		2018
Frida Nilsson	Q1456133	13847740X	Sasja und das Reich jenseits des Meeres	Q131621430	56823234		2019
Maia Kobabe	Q99579757	1252812574	Genderqueer	Q109266172	66595691		2024
