List Number	Series Number	Author	Author2	Author_Wikidata_ID	Author_GND_ID	Title	Title2	Work_Wikidata_ID	Goodreads work ID	GND ID	Publication_Date
1		Franz Kafka	Franz Kafka	Q905	118559230	The Trial	The Trial	Q36097	2965832	4099250-0	1925
2		Marcel Proust	Marcel Proust	Q7199	118596799	In Search of Lost Time	In Search of Lost Time	Q464928	2146716	4006834-1	1913
3		James Joyce	James Joyce	Q6882	118558501	Ulysses	Ulysses	Q6511	2368224	4099246-9	1922
4		Albert Camus	Albert Camus	Q34670	118518739	The Stranger	The Stranger	Q163297	3324344	4236814-5	1942
5		George Orwell	George Orwell	Q3335	118590359	Nineteen Eighty Four	Nineteen Eighty-Four	Q208460	153313	4099325-5	1949
6		Franz Kafka	Franz Kafka	Q905	118559230	The Metamorphosis	The Metamorphosis	Q184222	2373750	4099253-6	1915
7		Toni Morrison	Toni Morrison	Q72334	118911627	Beloved	Beloved	Q971767	736076	4301577-3	1987
8		Elsa Morante	Elsa Morante	Q275979	118784765	History	History	Q2279483	1521719		1974
9		Virginia Woolf	Virginia Woolf	Q40909	118635174	To the Lighthouse	To the Lighthouse	Q478016	1323448	4204721-3	1927
10		Gabriel García Márquez	Gabriel García Márquez	Q5878	118537601	One Hundred Years of Solitude	One Hundred Years of Solitude	Q178869	3295655	4123253-7	1967
11		Virginia Woolf	Virginia Woolf	Q40909	118635174	A Room of One's Own	A Room of One's Own	Q1204366	1315615	4127277-8	1929
12		Vladimir Nabokov	Vladimir Nabokov	Q36591	118586114	Lolita	Lolita	Q127149	1268631	4251287-6	1955
13		Jorge Luis Borges	Jorge Luis Borges	Q909	118513532	Fictions	Ficciones	Q2483432	1007116	4305460-2	1944
14		Mikhail Bulgakov	Mikhail Bulgakov	Q835	118517376	The Master and Margarita	The Master and Margarita	Q188538	876183	4244970-4	1967
15		Michel Houellebecq	Michel Houellebecq	Q103114	121383261	The Elementary Particles	Atomised	Q700483	2595873		1998
16		Virginia Woolf	Virginia Woolf	Q40909	118635174	Mrs. Dalloway	Mrs Dalloway	Q752584	841320	4316776-7	1925
17		Primo Levi	Primo Levi	Q153670	118572326	If This Is a Man	If This Is a Man	Q836036	851110	4241434-9	1947
18		Thomas Mann	Thomas Mann	Q37030	118577166	The Magic Mountain	The Magic Mountain	Q212898	647489	4099303-6	1924
19		David Vogel	David Vogel	Q79071	119285487	Married Life	Married Life	Q6772926	1303058		1986
20		F. Scott Fitzgerald	F. Scott Fitzgerald	Q93354	118533592	The Great Gatsby	The Great Gatsby	Q214371	245494		1925
21		Elena Ferrante	Elena Ferrante	Q368127	113749678	My Brilliant Friend	My Brilliant Friend	Q22263533	19174054	1113212020	2012
